cve,epss,percentile
CVE-2023-0733,0.00097,0.39601
CVE-2023-0734,0.00046,0.13988
CVE-2023-0735,0.00048,0.14876
CVE-2023-0736,0.00045,0.12002
CVE-2023-0738,0.00046,0.13988
CVE-2023-0739,0.00050,0.16971
CVE-2023-0740,0.00050,0.16805
CVE-2023-0741,0.00050,0.16805
CVE-2023-0742,0.00050,0.16805
CVE-2023-0743,0.00050,0.16805
CVE-2023-0744,0.13830,0.94853
CVE-2023-0745,0.00091,0.38070
CVE-2023-0746,0.00046,0.13988
CVE-2023-0747,0.00045,0.12002
CVE-2023-0748,0.00046,0.13988
CVE-2023-0749,0.00049,0.15307
CVE-2023-0750,0.00091,0.37850
CVE-2023-0751,0.00048,0.15015
CVE-2023-0754,0.00111,0.43122
CVE-2023-0755,0.00130,0.46757
CVE-2023-0756,0.00378,0.69045
CVE-2023-0758,0.00063,0.25482
CVE-2023-0759,0.00050,0.16805
CVE-2023-0760,0.00063,0.25678
CVE-2023-0761,0.00046,0.13988
CVE-2023-0762,0.00046,0.13988
CVE-2023-0763,0.00046,0.13988
CVE-2023-0764,0.00045,0.12002
CVE-2023-0765,0.00050,0.16805
CVE-2023-0766,0.00058,0.21935
CVE-2023-0767,0.00066,0.27277
CVE-2023-0768,0.00050,0.16805
CVE-2023-0770,0.00050,0.17262
CVE-2023-0771,0.00050,0.16805
CVE-2023-0772,0.00049,0.15307
CVE-2023-0774,0.00055,0.20635
CVE-2023-0775,0.00044,0.10600
CVE-2023-0776,0.00158,0.51241
CVE-2023-0777,0.01157,0.82896
CVE-2023-0778,0.00050,0.16890
CVE-2023-0779,0.00047,0.14258
CVE-2023-0780,0.00046,0.13988
CVE-2023-0781,0.00063,0.25482
